PID,Rep,L_Midfoot_X,L_Midfoot_Y,L_Midfoot_Z,R_Midfoot_X,R_Midfoot_Y,R_Midfoot_Z,R_Hip_X,R_Hip_Y,R_Hip_Z,R_Knee_X,R_Knee_Y,R_Knee_Z,R_Ankle_X,R_Ankle_Y,R_Ankle_Z,L_Hip_X,L_Hip_Y,L_Hip_Z,L_Knee_X,L_Knee_Y,L_Knee_Z,L_Ankle_X,L_Ankle_Y,L_Ankle_Z,R_KneeAngle_X,R_KneeAngle_Y,R_KneeAngle_Z,L_KneeAngle_X,L_KneeAngle_Y,L_KneeAngle_Z
mV007,8,0.245524,0.286466,0.015653,0.242427,-0.253319,0.017694,-0.065598,-0.130948,0.56313,0.375433,-0.195056,0.370385,0.132225,-0.176233,0.086954,-0.017212,0.165196,0.54908,0.409226,0.170102,0.387371,0.149137,0.222809,0.094815,-0.337356,100.672729,-18.369598,-3.848906,100.554207,0.186417
mV007,9,0.242094,0.291968,0.015639,0.227842,-0.280219,0.015664,-0.026131,-0.140597,0.526626,0.401058,-0.247971,0.340042,0.127405,-0.195951,0.09113,0.028109,0.152493,0.501083,0.453891,0.189038,0.359129,0.158479,0.215094,0.097543,0.805484,107.764702,-15.840144,-3.885567,108.648933,1.716345
mV007,10,0.235285,0.272132,0.015694,0.22528,-0.284282,0.018194,-0.038491,-0.135424,0.650071,0.36007,-0.217781,0.372239,0.116933,-0.205643,0.088628,0.007015,0.158184,0.617877,0.40163,0.156837,0.385836,0.13793,0.214358,0.098118,-3.340434,89.563889,-17.956638,-4.284533,91.843018,0.243623
mV008,1,-0.000093,0.198459,0.027592,0.009335,-0.200527,0.024843,-0.259095,-0.121771,0.790297,0.067267,-0.14764,0.470142,-0.111911,-0.155278,0.099986,-0.23954,0.140967,0.76977,0.082304,0.148388,0.461993,-0.118479,0.156237,0.099963,7.44065,70.279953,-0.403079,-7.90197,67.926651,-0.12215
mV008,2,0.062308,0.244691,0.032379,0.058698,-0.170819,0.029618,-0.275441,-0.105725,0.764456,0.084475,-0.122321,0.484197,-0.060971,-0.111719,0.097302,-0.254316,0.157474,0.736413,0.105092,0.181597,0.478713,-0.055843,0.189874,0.096182,6.624195,71.424042,-3.304006,-7.79045,69.953453,0.302283
mV008,3,-0.02193,0.224921,0.027708,-0.018332,-0.144125,0.019652,-0.263361,-0.095283,0.802076,0.054024,-0.079646,0.464465,-0.135374,-0.090914,0.096231,-0.260208,0.158577,0.786533,0.057124,0.144436,0.464213,-0.132541,0.158106,0.09356,6.114194,68.607269,-3.694332,-5.10413,63.441395,5.447674
mV008,4,-0.133491,0.238462,0.028411,-0.148551,-0.125821,0.022158,-0.388569,-0.067543,0.781496,-0.060788,-0.067179,0.458438,-0.262092,-0.066665,0.099641,-0.37843,0.189993,0.766567,-0.04862,0.181646,0.461551,-0.246035,0.178028,0.097092,6.73099,72.893585,-3.60427,-6.396954,67.703491,3.644264
mV008,5,-0.128899,0.250515,0.027574,-0.139539,-0.154556,0.022849,-0.452125,-0.0771,0.681737,-0.057706,-0.116466,0.461071,-0.248697,-0.085028,0.097982,-0.422745,0.188245,0.665841,-0.035754,0.218403,0.458026,-0.236441,0.181063,0.095738,8.788937,87.273224,-1.542578,-8.161331,83.067467,0.474385
mV008,6,-0.195576,0.266894,0.027945,-0.214062,-0.164055,0.023888,-0.530415,-0.059994,0.676576,-0.13485,-0.116442,0.46299,-0.321894,-0.091029,0.097603,-0.495915,0.205528,0.661248,-0.106103,0.23414,0.459407,-0.304149,0.198184,0.095223,8.823876,87.623566,-1.788194,-8.185815,83.447906,0.369761
mV008,7,-0.2071,0.262639,0.028118,-0.203958,-0.150213,0.02591,-0.531485,-0.049134,0.698304,-0.142542,-0.102567,0.470016,-0.315914,-0.081127,0.097237,-0.493667,0.213973,0.678635,-0.112637,0.221985,0.455004,-0.318506,0.198358,0.095141,8.396504,83.507858,-1.382846,-7.936124,81.128761,1.551661
