PID,Rep,L_Midfoot_X,L_Midfoot_Y,L_Midfoot_Z,R_Midfoot_X,R_Midfoot_Y,R_Midfoot_Z,R_Hip_X,R_Hip_Y,R_Hip_Z,R_Knee_X,R_Knee_Y,R_Knee_Z,R_Ankle_X,R_Ankle_Y,R_Ankle_Z,L_Hip_X,L_Hip_Y,L_Hip_Z,L_Knee_X,L_Knee_Y,L_Knee_Z,L_Ankle_X,L_Ankle_Y,L_Ankle_Z,R_KneeAngle_X,R_KneeAngle_Y,R_KneeAngle_Z,L_KneeAngle_X,L_KneeAngle_Y,L_KneeAngle_Z
mV008,2,-0.022344,0.191079,0.02769,-0.018339,-0.253148,0.022784,-0.356979,-0.158048,0.58269,0.068093,-0.229189,0.456759,-0.126431,-0.182521,0.098432,-0.333705,0.114603,0.563186,0.079225,0.184578,0.447697,-0.127476,0.115504,0.093043,9.538396,101.479965,2.822436,-8.007195,97.822281,-4.731389
mV008,3,-0.010792,0.182269,0.027069,-0.018671,-0.255162,0.022596,-0.348517,-0.158419,0.622541,0.061434,-0.240283,0.459274,-0.126908,-0.184583,0.098081,-0.322123,0.114252,0.60164,0.084629,0.169674,0.450464,-0.121773,0.116351,0.093202,9.280828,95.687927,2.448956,-8.292146,92.579369,-4.20063
mV008,4,-0.012215,0.185181,0.027589,-0.020165,-0.258129,0.02363,-0.36189,-0.150613,0.600908,0.056543,-0.233378,0.460001,-0.127065,-0.182746,0.096323,-0.34051,0.122756,0.583879,0.073248,0.181103,0.452901,-0.121973,0.11535,0.091715,9.443956,97.900497,2.197733,-8.193013,94.135452,-4.699614
mV008,5,-0.012327,0.185452,0.028243,-0.023569,-0.261965,0.023329,-0.359176,-0.15748,0.611405,0.056007,-0.233877,0.459153,-0.130507,-0.18667,0.096059,-0.341896,0.115251,0.597749,0.0697,0.17302,0.455345,-0.123692,0.117422,0.09153,9.473307,96.490967,1.348056,-8.328393,92.006912,-3.830352
mV008,6,-0.012072,0.185059,0.027845,-0.023492,-0.262196,0.021776,-0.343984,-0.169074,0.615459,0.066856,-0.247321,0.454488,-0.128619,-0.187645,0.097837,-0.3261,0.104652,0.598441,0.081332,0.169868,0.45042,-0.121854,0.114944,0.09162,9.452229,96.965279,1.741248,-8.305192,92.533043,-3.936284
mV008,7,-0.011777,0.184883,0.027188,-0.024345,-0.261412,0.021377,-0.327161,-0.163373,0.624178,0.077357,-0.245099,0.449069,-0.127654,-0.185594,0.098665,-0.309305,0.109846,0.611997,0.092337,0.167821,0.445897,-0.119578,0.112947,0.092299,9.369633,96.62262,2.172291,-8.37592,91.162636,-2.948584
mV008,8,-0.010274,0.184956,0.027192,-0.014328,-0.260855,0.021893,-0.326273,-0.15712,0.610111,0.083859,-0.240012,0.450154,-0.11728,-0.183083,0.097702,-0.31043,0.116291,0.59951,0.095123,0.175331,0.444339,-0.115574,0.10911,0.091958,9.44459,98.132843,2.282159,-8.337172,92.736023,-3.088469
mV008,9,-0.011611,0.184462,0.027572,-0.005927,-0.264986,0.022392,-0.329108,-0.171345,0.622202,0.080518,-0.246774,0.455523,-0.109802,-0.187079,0.096791,-0.310339,0.101075,0.607295,0.094152,0.156339,0.445556,-0.117437,0.10868,0.091552,9.42862,95.474785,1.093271,-8.37902,91.638649,-2.504712
mV008,10,-0.01115,0.183781,0.027806,-0.005975,-0.267249,0.023318,-0.333506,-0.169934,0.641159,0.071944,-0.241731,0.45974,-0.114301,-0.194717,0.096796,-0.3115,0.101192,0.624635,0.088833,0.150717,0.449247,-0.118113,0.109365,0.091498,9.19202,92.610512,1.424903,-8.387,88.661186,-0.911288
mV014,1,0.061153,0.217524,0.016128,0.059897,-0.244573,0.022613,-0.17241,-0.15921,0.381475,0.158078,-0.287553,0.353411,-0.035694,-0.207899,0.085258,-0.195944,0.118012,0.38234,0.138043,0.248773,0.370598,-0.027805,0.169453,0.084582,0.389048,117.018379,3.246531,-3.643524,118.081978,-8.970722
mV014,2,0.061556,0.216535,0.015359,0.060188,-0.248949,0.026205,-0.18625,-0.151526,0.374313,0.127042,-0.317856,0.365103,-0.03656,-0.209242,0.085113,-0.181429,0.124663,0.369236,0.15524,0.241361,0.362045,-0.026615,0.168635,0.084941,0.42749,116.900887,3.207964,-3.61788,120.910606,-8.231419
mV014,3,0.06055,0.221579,0.015217,0.061617,-0.24549,0.02225,-0.16495,-0.153384,0.370686,0.166142,-0.282392,0.349711,-0.032818,-0.205553,0.084653,-0.181103,0.123375,0.369948,0.154225,0.249323,0.361701,-0.025103,0.169343,0.084824,0.981515,118.449471,1.72537,-3.922291,120.726601,-7.778034
mV014,4,0.060366,0.224314,0.016045,0.061454,-0.248006,0.020536,-0.150674,-0.171316,0.353186,0.177367,-0.303064,0.337391,-0.02945,-0.205425,0.086342,-0.177915,0.101776,0.358429,0.132498,0.271728,0.370848,-0.02535,0.172105,0.085595,0.611746,122.553062,1.40981,-3.315855,122.120766,-8.404355
mV014,5,0.060891,0.223427,0.015369,0.063455,-0.248578,0.021188,-0.142707,-0.167477,0.350582,0.171969,-0.323707,0.336033,-0.026104,-0.202448,0.086444,-0.167121,0.104972,0.355956,0.141612,0.277217,0.364675,-0.022927,0.169972,0.086273,0.496423,122.86573,1.519802,-2.647034,123.517303,-9.046376
